Date,Open,High,Low,Close,Adj Close,Volume
2017-08-28,10278.440430,10318.360352,10272.259766,10304.410156,10304.410156,24300
2017-08-29,10300.990234,10304.429688,10173.959961,10184.509766,10184.509766,21800
2017-08-30,10225.549805,10309.929688,10225.219727,10289.809570,10289.809570,18500
2017-08-31,10305.240234,10321.750000,10264.330078,10315.160156,10315.160156,37300
2017-09-01,10327.059570,10394.230469,10319.070313,10383.650391,10383.650391,30800
2017-09-04,10397.389648,10397.389648,10254.190430,10311.070313,10311.070313,27300
2017-09-05,10328.419922,10369.959961,10308.750000,10357.500000,10357.500000,20000
2017-09-06,10330.070313,10350.019531,10287.570313,10331.200195,10331.200195,26400
2017-09-07,10363.450195,10393.240234,10344.839844,10361.330078,10361.330078,31300
2017-09-08,10379.019531,10396.490234,10332.339844,10351.900391,10351.900391,27500
2017-09-11,10390.269531,10454.679688,10389.530273,10430.129883,10430.129883,29500
2017-09-12,10480.269531,10525.509766,10454.309570,10520.150391,10520.150391,24800
2017-09-13,10535.110352,10570.809570,10486.379883,10502.360352,10502.360352,37500
2017-09-14,10551.209961,10562.570313,10499.809570,10521.339844,10521.339844,30900
2017-09-15,10503.389648,10543.730469,10469.929688,10515.620117,10515.620117,25000
2017-09-18,10546.570313,10598.179688,10546.549805,10577.480469,10577.480469,22800
2017-09-19,10607.459961,10608.169922,10559.639648,10580.469727,10580.469727,125100
2017-09-20,10600.780273,10608.450195,10565.639648,10570.459961,10570.459961,104200
2017-09-21,10572.330078,10588.759766,10473.480469,10537.480469,10537.480469,26600
2017-09-22,10522.030273,10522.179688,10342.719727,10353.919922,10353.919922,27500
2017-09-25,10372.330078,10379.049805,10197.900391,10252.780273,10252.780273,46000
2017-09-26,10267.030273,10283.599609,10197.009766,10254.419922,10254.419922,32700
2017-09-27,10304.480469,10307.990234,10086.120117,10105.469727,10105.469727,34400
2017-09-28,10123.530273,10160.129883,10059.900391,10142.309570,10142.309570,25700
2017-09-29,10177.910156,10245.830078,10162.110352,10172.639648,10172.639648,25600
2017-10-03,10249.110352,10273.879883,10231.429688,10255.940430,10255.940430,23600
2017-10-04,10273.830078,10333.299805,10250.629883,10307.940430,10307.940430,18600
2017-10-05,10326.450195,10352.290039,10284.530273,10292.679688,10292.679688,18400
2017-10-06,10310.599609,10392.610352,10310.169922,10383.080078,10383.080078,28000
2017-10-09,10399.830078,10433.139648,10374.089844,10397.620117,10397.620117,17700
2017-10-10,10418.269531,10447.349609,10415.540039,10427.139648,10427.139648,19600
2017-10-11,10449.339844,10485.250000,10354.549805,10389.240234,10389.240234,25300
2017-10-12,10407.910156,10510.799805,10379.110352,10502.049805,10502.049805,21400
2017-10-13,10521.129883,10589.660156,10521.129883,10567.540039,10567.540039,31000
2017-10-16,10588.049805,10642.730469,10572.839844,10625.500000,10625.500000,23000
2017-10-17,10634.250000,10655.599609,10611.660156,10636.259766,10636.259766,23100
2017-10-18,10621.629883,10643.209961,10576.759766,10612.709961,10612.709961,29100
2017-10-19,10645.589844,10650.790039,10527.450195,10552.019531,10552.019531,5900
